timestamp,region,pm25,temperature,humidity,pm25_zscore,temperature_zscore,humidity_zscore
2024-12-31 21:30:00+00:00,New Delhi-8118,286.0,20.16,55.91,1.04,-1.71,0.5
2025-01-01 01:30:00+00:00,New Delhi-8118,185.0,20.65,47.49,0.58,-1.59,-0.24
2025-01-01 05:30:00+00:00,New Delhi-8118,193.0,32.29,48.4,0.61,1.08,-0.16
2025-01-01 09:30:00+00:00,New Delhi-8118,196.0,20.35,51.89,0.63,-1.66,0.15
2025-01-01 13:30:00+00:00,New Delhi-8118,206.0,31.57,38.57,0.67,0.91,-1.02
2025-01-01 17:30:00+00:00,New Delhi-8118,205.0,23.98,69.18,0.67,-0.83,1.67
2025-01-01 20:30:00+00:00,New Delhi-8118,158.0,33.69,32.72,0.45,1.4,-1.54
2025-01-02 00:30:00+00:00,New Delhi-8118,174.0,33.43,60.81,0.53,1.34,0.93
2025-01-02 04:30:00+00:00,New Delhi-8118,204.0,27.18,45.82,0.66,-0.1,-0.39
2025-01-02 08:30:00+00:00,New Delhi-8118,190.0,25.99,63.46,0.6,-0.37,1.17
2025-01-02 12:30:00+00:00,New Delhi-8118,198.0,34.11,62.04,0.64,1.49,1.04
2025-01-02 16:30:00+00:00,New Delhi-8118,291.0,28.25,53.05,1.07,0.15,0.25
2025-01-02 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,210.0,29.13,31.61,0.69,0.35,-1.64
2025-01-02 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,220.0,27.44,34.85,0.74,-0.04,-1.35
2025-01-03 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,180.0,20.74,47.07,0.55,-1.57,-0.28
2025-01-03 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,431.0,33.42,44.12,1.71,1.34,-0.54
2025-01-03 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,208.0,28.36,60.2,0.68,0.17,0.88
2025-01-03 15:30:00+00:00,US Diplomatic Post: New Delhi-8118,261.0,30.71,43.18,0.93,0.71,-0.62
2025-01-03 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,195.0,20.07,42.54,0.62,-1.73,-0.67
2025-01-04 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,167.0,28.97,46.22,0.49,0.31,-0.35
2025-01-04 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,416.0,33.53,49.48,1.64,1.36,-0.06
2025-01-04 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,352.0,33.31,58.75,1.35,1.31,0.75
2025-01-04 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,283.0,30.16,41.54,1.03,0.59,-0.76
2025-01-04 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,308.0,24.36,69.65,1.15,-0.74,1.71
2025-01-04 21:30:00+00:00,New Delhi-8118,-999.0,20.36,64.62,-4.9,-1.66,1.27
2025-01-05 01:30:00+00:00,New Delhi-8118,-999.0,25.81,35.99,-4.9,-0.41,-1.25
2025-01-05 05:30:00+00:00,New Delhi-8118,-999.0,27.1,58.77,-4.9,-0.11,0.75
2025-01-05 09:30:00+00:00,New Delhi-8118,-999.0,31.13,59.95,-4.9,0.81,0.86
2025-01-05 13:30:00+00:00,New Delhi-8118,-999.0,24.65,64.5,-4.9,-0.68,1.26
2025-01-05 17:30:00+00:00,New Delhi-8118,-999.0,23.57,49.08,-4.9,-0.92,-0.1
2025-01-05 20:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,33.64,38.56,-4.9,1.39,-1.02
2025-01-06 00:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,22.92,38.51,-4.9,-1.07,-1.03
2025-01-06 04:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,32.96,59.22,-4.9,1.23,0.79
2025-01-06 08:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,27.76,51.15,-4.9,0.04,0.08
2025-01-06 12:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,28.07,63.64,-4.9,0.11,1.18
2024-12-31 20:30:00+00:00,New Delhi-8118,343.0,31.96,58.66,1.31,1.0,0.74
2025-01-01 00:30:00+00:00,New Delhi-8118,189.0,30.4,33.38,0.59,0.64,-1.48
2025-01-01 04:30:00+00:00,New Delhi-8118,170.0,20.3,34.4,0.51,-1.67,-1.39
2025-01-01 08:30:00+00:00,New Delhi-8118,202.0,32.99,44.8,0.65,1.24,-0.48
2025-01-01 12:30:00+00:00,New Delhi-8118,203.0,23.11,41.84,0.66,-1.03,-0.74
2025-01-01 16:30:00+00:00,New Delhi-8118,213.0,21.19,37.86,0.71,-1.47,-1.09
2025-01-01 19:30:00+00:00,New Delhi-8118,163.0,32.97,30.31,0.47,1.23,-1.75
2025-01-01 23:30:00+00:00,New Delhi-8118,176.0,23.52,45.46,0.53,-0.94,-0.42
2025-01-02 03:30:00+00:00,New Delhi-8118,167.0,29.2,57.94,0.49,0.37,0.68
2025-01-02 07:30:00+00:00,New Delhi-8118,179.0,28.4,69.57,0.55,0.18,1.7
2025-01-02 11:30:00+00:00,New Delhi-8118,191.0,20.13,49.35,0.6,-1.71,-0.07
2025-01-02 15:30:00+00:00,New Delhi-8118,308.0,27.01,49.16,1.15,-0.14,-0.09
2025-01-02 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,200.0,26.72,61.85,0.65,-0.2,1.03
2025-01-03 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,203.0,21.1,53.36,0.66,-1.49,0.28
2025-01-03 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,349.0,32.17,38.91,1.33,1.05,-0.99
2025-01-03 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,278.0,30.98,42.9,1.01,0.78,-0.64
2025-01-03 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,265.0,33.69,60.53,0.95,1.4,0.91
2025-01-03 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,333.0,21.31,38.93,1.26,-1.44,-0.99
2025-01-03 21:30:00+00:00,US Diplomatic Post: New Delhi-8118,149.0,33.21,65.77,0.41,1.29,1.37
2025-01-04 01:30:00+00:00,US Diplomatic Post: New Delhi-8118,179.0,20.27,65.23,0.55,-1.68,1.32
2025-01-04 05:30:00+00:00,US Diplomatic Post: New Delhi-8118,334.0,24.36,37.69,1.27,-0.74,-1.1
2025-01-04 09:30:00+00:00,US Diplomatic Post: New Delhi-8118,370.0,34.97,51.98,1.43,1.69,0.16
2025-01-04 13:30:00+00:00,US Diplomatic Post: New Delhi-8118,278.0,24.25,55.0,1.01,-0.77,0.42
2025-01-04 17:30:00+00:00,US Diplomatic Post: New Delhi-8118,303.0,20.19,46.44,1.12,-1.7,-0.33
2025-01-04 20:30:00+00:00,New Delhi-8118,219.0,24.58,62.19,0.73,-0.69,1.06
2025-01-05 00:30:00+00:00,New Delhi-8118,-999.0,33.65,51.53,-4.9,1.39,0.12
2025-01-05 04:30:00+00:00,New Delhi-8118,-999.0,22.63,50.59,-4.9,-1.14,0.03
2025-01-05 08:30:00+00:00,New Delhi-8118,-999.0,31.9,68.09,-4.9,0.99,1.57
2025-01-05 12:30:00+00:00,New Delhi-8118,-999.0,30.52,64.28,-4.9,0.67,1.24
2025-01-05 16:30:00+00:00,New Delhi-8118,-999.0,25.21,69.97,-4.9,-0.55,1.74
2025-01-05 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,23.11,42.34,-4.9,-1.03,-0.69
2025-01-05 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,26.88,53.99,-4.9,-0.17,0.33
2025-01-06 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,24.51,57.15,-4.9,-0.71,0.61
2025-01-06 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,-999.0,29.99,57.28,-4.9,0.55,0.62
