timestamp,region,pm25,temperature,humidity
2024-12-31 21:30:00+00:00,New Delhi-8118,286.0,20.16,55.91
2025-01-01 01:30:00+00:00,New Delhi-8118,185.0,20.65,47.49
2025-01-01 05:30:00+00:00,New Delhi-8118,193.0,32.29,48.4
2025-01-01 09:30:00+00:00,New Delhi-8118,196.0,20.35,51.89
2025-01-01 13:30:00+00:00,New Delhi-8118,206.0,31.57,38.57
2025-01-01 17:30:00+00:00,New Delhi-8118,205.0,23.98,69.18
2025-01-01 20:30:00+00:00,New Delhi-8118,158.0,33.69,32.72
2025-01-02 00:30:00+00:00,New Delhi-8118,174.0,33.43,60.81
2025-01-02 04:30:00+00:00,New Delhi-8118,204.0,27.18,45.82
2025-01-02 08:30:00+00:00,New Delhi-8118,190.0,25.99,63.46
2025-01-02 12:30:00+00:00,New Delhi-8118,198.0,34.11,62.04
2025-01-02 16:30:00+00:00,New Delhi-8118,291.0,28.25,53.05
2025-01-02 19:30:00+00:00,US Diplomatic Post: New Delhi-8118,210.0,29.13,31.61
2025-01-02 23:30:00+00:00,US Diplomatic Post: New Delhi-8118,220.0,27.44,34.85
2025-01-03 03:30:00+00:00,US Diplomatic Post: New Delhi-8118,180.0,20.74,47.07
2025-01-03 07:30:00+00:00,US Diplomatic Post: New Delhi-8118,431.0,33.42,44.12
2025-01-03 11:30:00+00:00,US Diplomatic Post: New Delhi-8118,208.0,28.36,60.2
2025-01-03 15:30:00+00:00,US Diplomatic Post: New Delhi-8118,261.0,30.71,43.18
2025-01-03 22:30:00+00:00,US Diplomatic Post: New Delhi-8118,195.0,20.07,42.54
2025-01-04 02:30:00+00:00,US Diplomatic Post: New Delhi-8118,167.0,28.97,46.22
2025-01-04 06:30:00+00:00,US Diplomatic Post: New Delhi-8118,416.0,33.53,49.48
2025-01-04 10:30:00+00:00,US Diplomatic Post: New Delhi-8118,352.0,33.31,58.75
2025-01-04 14:30:00+00:00,US Diplomatic Post: New Delhi-8118,283.0,30.16,41.54
2025-01-04 18:30:00+00:00,US Diplomatic Post: New Delhi-8118,308.0,24.36,69.65
2025-01-04 21:30:00+00:00,New Delhi-8118,-999.0,20.36,64.62
2025-01-05 01:30:00+00:00,New Delhi-8118,-999.0,25.81,35.99
2025-01-05 05:30:00+00:00,New Delhi-8118,-999.0,27.1,58.77
2025-01-05 09:30:00+00:00,New Delhi-8118,-999.0,31.13,59.95
2025-01-05 13:30:00+00:00,New Delhi-8118,-999.0,24.65,64.5
2025-01-05 17:30:00+00:00,New Delhi-8118,-999.0,23.57,49.08
